EQUNR,KTXT,TYPBZ,BAUJJ,SWERK,STATUS,ZZLAUFLEISTUNG,ANSDT
T-COR-4000,Coradia Stream unit 4000,Coradia Stream,2022,Berlin HBF,active,656778,2023-01-04
T-ICE-4001,ICE 3 unit 4001,ICE 3,2013,Munich HBF,standby,1499141,2019-08-23
T-ICE-4002,ICE 4 unit 4002,ICE 4,2014,Frankfurt HBF,active,142489,2024-09-15
T-ICE-4003,ICE 3 unit 4003,ICE 3,2013,Munich HBF,active,135649,2019-06-19
T-ICE-4004,ICE 3 unit 4004,ICE 3,2009,Munich HBF,standby,1222825,2021-01-19
T-ICE-4005,ICE 3 unit 4005,ICE 3,2011,Munich HBF,active,1777498,2025-09-07
T-ICE-4006,ICE 3 unit 4006,ICE 3,2009,Munich HBF,active,662738,2024-01-06
T-ICE-4007,ICE 3 unit 4007,ICE 3,2008,Munich HBF,active,274502,2021-06-30
T-ICE-4008,ICE 4 unit 4008,ICE 4,2016,Frankfurt HBF,in_workshop,1346105,2022-10-16
T-ICE-4009,ICE 4 unit 4009,ICE 4,2013,Frankfurt HBF,active,341779,2021-07-06
