AUFNR,EQUNR,WARPL,KTEXT,AUART,STATUS,PRIORITY,GSTRP,GLTRP,ARBEI,PERNR
WO-1000001,T-COR-4000,MP-00004,Fire-safety certification,PM01,open,1-critical,2026-05-10T10:51:29,2026-05-10T16:51:29,6,10001003
WO-1000002,T-COR-4000,MP-00002,Daily visual inspection,PM01,completed,3-normal,2026-04-22T10:51:29,2026-04-22T11:21:29,0.5,10001003
WO-1000003,T-COR-4000,MP-00003,Wheel profile measurement,PM01,completed,2-high,2026-05-17T12:51:29,2026-05-17T15:51:29,3,10001007
WO-1000004,T-COR-4000,MP-00002,Daily visual inspection,PM01,completed,3-normal,2026-05-10T16:51:29,2026-05-10T17:21:29,0.5,10001004
WO-1000005,T-ICE-4001,MP-00009,Fire-safety certification,PM01,in_progress,1-critical,2026-05-04T13:51:29,2026-05-04T19:51:29,6,10001006
WO-1000006,T-ICE-4001,MP-00010,Weekly safety inspection,PM01,completed,2-high,2026-04-19T20:51:29,2026-04-19T22:51:29,2,10001004
WO-1000007,T-ICE-4001,MP-00008,Wheel profile measurement,PM01,open,2-high,2026-04-12T17:51:29,2026-04-12T20:51:29,3,10001004
WO-1000008,T-ICE-4001,MP-00011,Pantograph & catenary contact test,PM01,scheduled,3-normal,2026-03-22T19:51:29,2026-03-22T21:51:29,2,10001001
WO-1000009,T-ICE-4002,MP-00012,Brake system overhaul,PM01,open,1-critical,2026-05-17T03:51:29,2026-05-17T15:51:29,12,10001002
WO-1000010,T-ICE-4002,MP-00016,Traction motor overhaul,PM01,scheduled,1-critical,2026-04-09T14:51:29,2026-04-10T14:51:29,24,10001008
WO-1000011,T-ICE-4003,MP-00022,Monthly interior & HVAC check,PM01,scheduled,3-normal,2026-05-08T11:51:29,2026-05-08T15:51:29,4,10001008
WO-1000012,T-ICE-4003,MP-00019,Brake system overhaul,PM01,in_progress,1-critical,2026-05-13T06:51:29,2026-05-13T18:51:29,12,10001004
WO-1000013,T-ICE-4004,MP-00023,Monthly interior & HVAC check,PM01,completed,3-normal,2026-04-19T04:51:29,2026-04-19T08:51:29,4,10001007
WO-1000014,T-ICE-4004,MP-00026,Pantograph & catenary contact test,PM01,in_progress,3-normal,2026-05-17T16:51:29,2026-05-17T18:51:29,2,10001001
WO-1000015,T-ICE-4005,MP-00028,Wheel profile measurement,PM01,open,2-high,2026-04-17T16:51:29,2026-04-17T19:51:29,3,10001006
WO-1000016,T-ICE-4005,MP-00028,Wheel profile measurement,PM01,scheduled,2-high,2026-04-03T23:51:29,2026-04-04T02:51:29,3,10001008
WO-1000017,T-ICE-4005,MP-00029,Brake system overhaul,PM01,in_progress,1-critical,2026-04-03T01:51:29,2026-04-03T13:51:29,12,10001008
WO-1000018,T-ICE-4005,MP-00029,Brake system overhaul,PM01,open,1-critical,2026-04-20T10:51:29,2026-04-20T22:51:29,12,10001002
WO-1000019,T-ICE-4006,MP-00033,Pantograph & catenary contact test,PM01,open,3-normal,2026-05-21T00:51:29,2026-05-21T02:51:29,2,10001003
WO-1000020,T-ICE-4006,MP-00036,Fire-safety certification,PM01,in_progress,1-critical,2026-04-21T23:51:29,2026-04-22T05:51:29,6,10001007
WO-1000021,T-ICE-4007,MP-00038,Weekly safety inspection,PM01,in_progress,2-high,2026-03-23T05:51:29,2026-03-23T07:51:29,2,10001005
WO-1000022,T-ICE-4007,MP-00040,Bogie inspection,PM01,scheduled,2-high,2026-04-19T15:51:29,2026-04-19T23:51:29,8,10001008
WO-1000023,T-ICE-4008,MP-00044,Monthly interior & HVAC check,PM01,scheduled,3-normal,2026-04-04T18:51:29,2026-04-04T22:51:29,4,10001001
WO-1000024,T-ICE-4008,MP-00048,Weekly safety inspection,PM01,scheduled,2-high,2026-03-25T18:51:29,2026-03-25T20:51:29,2,10001008
WO-1000025,T-ICE-4009,MP-00053,Monthly interior & HVAC check,PM01,scheduled,3-normal,2026-03-26T09:51:29,2026-03-26T13:51:29,4,10001002
WO-1000026,T-ICE-4009,MP-00050,Traction motor overhaul,PM01,open,1-critical,2026-04-29T19:51:29,2026-04-30T19:51:29,24,10001004
WO-1000027,T-ICE-4009,MP-00052,Pantograph & catenary contact test,PM01,open,3-normal,2026-05-22T11:51:29,2026-05-22T13:51:29,2,10001004
WO-1000028,T-ICE-4009,MP-00053,Monthly interior & HVAC check,PM01,completed,3-normal,2026-03-25T12:51:29,2026-03-25T16:51:29,4,10001002
